"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","2,791.01","2,793.30","2,878.40","2,602.56","-","-0.16%"
"Apr 22","2,795.62","3,050.20","3,086.91","2,791.18","-","-8.43%"
"Mar 22","3,053.07","2,979.74","3,113.02","2,792.22","-","2.52%"
"Feb 22","2,977.95","3,060.64","3,132.49","2,825.07","-","-2.65%"
"Jan 22","3,059.05","3,230.72","3,261.66","2,912.04","-","-5.34%"
"Dec 21","3,231.73","3,106.80","3,251.95","3,067.56","-","4.19%"
"Nov 21","3,101.80","3,175.13","3,242.90","3,101.80","-","-2.30%"
"Oct 21","3,174.73","3,006.75","3,180.72","2,978.07","-","5.59%"
"Sep 21","3,006.60","3,141.95","3,174.13","3,006.60","-","-4.29%"
"Aug 21","3,141.35","3,071.08","3,151.34","3,047.60","-","2.35%"
"Jul 21","3,069.25","3,017.32","3,095.57","2,962.62","-","1.72%"
"Jun 21","3,017.23","2,976.98","3,029.15","2,943.47","-","1.40%"
"May 21","2,975.70","2,938.21","2,987.71","2,860.30","-","1.26%"
"Apr 21","2,938.76","2,809.98","2,972.72","2,809.16","-","4.52%"
"Mar 21","2,811.70","2,727.78","2,837.30","2,670.21","-","3.11%"
"Feb 21","2,726.91","2,659.13","2,838.40","2,659.13","-","2.45%"
"Jan 21","2,661.69","2,690.04","2,770.88","2,649.36","-","-1.05%"
"Dec 20","2,690.04","2,581.24","2,699.37","2,581.20","-","4.14%"
"Nov 20","2,583.14","2,293.39","2,603.87","2,293.39","-","12.66%"
"Oct 20","2,292.93","2,367.51","2,484.98","2,276.24","-","-3.14%"
"Sep 20","2,367.27","2,453.75","2,500.32","2,280.83","-","-3.59%"
"Aug 20","2,455.51","2,304.21","2,461.35","2,301.66","-","6.53%"
"Jul 20","2,304.98","2,202.77","2,333.64","2,194.91","-","4.69%"
"Jun 20","2,201.79","2,147.96","2,291.59","2,116.44","-","2.51%"
"May 20","2,147.88","2,049.78","2,167.71","1,952.89","-","4.63%"
"Apr 20","2,052.85","1,855.09","2,078.66","1,763.77","-","10.80%"
"Mar 20","1,852.73","2,144.07","2,249.35","1,579.14","-","-13.47%"
"Feb 20","2,141.12","2,342.14","2,434.95","2,087.86","-","-8.59%"
"Jan 20","2,342.41","2,358.25","2,419.06","2,337.97","-","-0.68%"
"Dec 19","2,358.47","2,291.89","2,369.20","2,250.88","-","2.89%"
"Nov 19","2,292.26","2,232.03","2,303.72","2,231.82","-","2.63%"
"Oct 19","2,233.53","2,180.50","2,241.21","2,102.44","-","2.45%"
"Sep 19","2,180.02","2,137.10","2,211.52","2,119.08","-","1.94%"
"Aug 19","2,138.52","2,182.62","2,201.77","2,073.22","-","-2.24%"
"Jul 19","2,187.56","2,177.61","2,220.86","2,172.85","-","0.42%"
"Jun 19","2,178.35","2,046.47","2,186.67","2,039.89","-","6.46%"
"May 19","2,046.25","2,179.34","2,185.44","2,042.57","-","-6.08%"
"Apr 19","2,178.67","2,107.35","2,180.33","2,107.27","-","3.37%"
"Mar 19","2,107.74","2,084.72","2,131.84","2,040.69","-","1.05%"
"Feb 19","2,085.84","2,027.35","2,100.65","2,008.01","-","2.83%"
"Jan 19","2,028.49","1,885.41","2,029.69","1,847.89","-","7.68%"
"Dec 18","1,883.90","2,042.05","2,072.60","1,794.00","-","-7.71%"
"Nov 18","2,041.36","2,021.42","2,089.51","1,968.98","-","0.96%"
"Oct 18","2,021.98","2,183.59","2,195.88","1,958.30","-","-7.42%"
"Sep 18","2,184.01","2,172.37","2,203.96","2,131.62","-","0.39%"
"Aug 18","2,175.50","2,153.56","2,193.24","2,106.78","-","1.04%"
"Jul 18","2,153.10","2,089.19","2,168.69","2,069.16","-","3.05%"
"Jun 18","2,089.30","2,092.35","2,149.03","2,066.44","-","-0.17%"
"May 18","2,092.92","2,086.09","2,141.59","2,054.08","-","0.31%"
"Apr 18","2,086.51","2,067.54","2,128.01","2,026.15","-","0.95%"
"Mar 18","2,066.85","2,117.37","2,164.33","2,034.08","-","-2.41%"
"Feb 18","2,117.99","2,211.12","2,218.80","2,009.60","-","-4.30%"
"Jan 18","2,213.24","2,102.35","2,249.69","2,102.35","-","5.22%"
"Dec 17","2,103.45","2,074.68","2,112.42","2,056.24","-","1.26%"
"Nov 17","2,077.36","2,036.79","2,079.40","2,016.64","-","1.99%"
"Oct 17","2,036.80","2,000.19","2,038.40","1,997.50","-","1.81%"
"Sep 17","2,000.55","1,961.94","2,000.59","1,948.21","-","2.08%"
"Aug 17","1,959.74","1,962.13","1,974.82","1,925.16","-","-0.07%"
"Jul 17","1,961.10","1,917.50","1,971.25","1,905.25","-","2.33%"
"Jun 17","1,916.43","1,910.96","1,938.69","1,908.09","-","0.25%"